User ID,Subscription Plan,Monthly Revenue ($),Join Date,Last Payment,Country,Age,Gender,Device,Plan Duration (Months),Total Movies/Shows Watched,Genre Preference,No. of Recommendations Viewed,% of Recommendations Acted Upon,Frequency of Rating
249,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
250,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
251,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
252,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
253,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
254,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
255,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
256,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
257,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
258,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
259,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
260,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
261,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
262,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
263,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
264,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
265,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
266,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
267,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
268,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
269,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
270,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
271,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
272,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
273,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
274,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
275,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
276,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
277,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
278,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
279,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
280,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
281,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
282,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
283,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
284,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
285,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
286,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
287,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
288,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
289,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
290,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
291,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
292,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
293,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
294,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
295,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
296,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
297,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
298,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
299,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
300,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
301,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
302,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
303,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
304,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
305,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
306,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
307,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
308,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
309,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
310,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
311,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
312,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
313,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
314,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
315,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
316,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
317,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
318,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
319,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
320,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
321,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
322,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
323,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
324,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
325,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
326,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
327,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
328,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
329,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
330,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
331,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
332,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
333,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
334,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
335,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
336,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
337,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
338,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
339,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
340,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
341,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
342,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
343,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
344,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
345,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
346,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
347,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
348,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
349,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
350,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
351,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
352,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
353,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
354,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
355,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
356,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
357,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
358,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
359,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
360,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
361,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
362,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
363,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
364,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
365,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
366,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
367,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
368,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
369,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
370,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
371,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
372,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
373,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
374,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
375,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
376,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
377,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
378,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
379,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
380,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
381,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
382,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
383,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
384,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
385,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
386,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
387,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
388,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
389,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
390,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
391,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
392,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
393,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
394,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
395,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
396,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
397,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
398,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
399,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
400,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
401,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
402,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
403,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
404,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
405,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
406,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
407,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
408,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
409,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
410,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
411,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
412,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
413,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
414,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
415,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
416,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
417,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
418,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
419,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
420,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
421,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
422,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
423,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
424,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
425,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
426,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
427,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
428,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
429,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
430,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
431,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
432,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
433,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
434,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
435,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
436,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
437,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
438,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
439,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
440,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
441,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
442,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
443,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
444,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
445,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
446,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
447,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
448,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
449,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
450,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
451,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
452,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
453,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
454,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
455,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Sci-Fi,1,10%,Never
456,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
457,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
458,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
459,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
460,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Drama,3,30%,Never
461,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Romance,6,50%,Monthly
462,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Fantasy,8,60%,Weekly
463,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Comedy,4,40%,Never
464,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Mystery,10,70%,Monthly
465,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
466,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
467,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Drama,9,80%,Monthly
468,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Romance,3,30%,Never
469,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Sci-Fi,6,60%,Monthly
470,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
471,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Thriller,3,30%,Never
472,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
473,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
474,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
475,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Action,1,10%,Never
476,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Comedy,10,70%,Weekly
477,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Drama,4,40%,Monthly
478,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
479,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
480,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
481,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
482,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
483,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
484,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
485,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
486,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
487,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
488,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
489,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
490,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
491,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Sci-Fi,6,50%,Monthly
492,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Fantasy,8,60%,Weekly
493,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Comedy,4,40%,Never
494,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Mystery,10,70%,Monthly
495,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
496,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
497,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Drama,9,80%,Monthly
